2023-10-06 23:10:41,507.FinalProject.INFO ==================================================
2023-10-06 23:10:41,507.FinalProject.INFO Today is 2023-10-06 at 11:10 PM
2023-10-06 23:10:41,507.FinalProject.INFO Running on: nt Windows 10
2023-10-06 23:10:41,507.FinalProject.INFO Python version:  3.10.9
2023-10-06 23:10:41,507.FinalProject.INFO Python path: C:\Users\rp150\rp-venv\44671_StreamingData\Module7\streaming-07-final-project\.venv
2023-10-06 23:10:41,507.FinalProject.INFO Working dir: C:\Users\rp150\rp-venv\44671_StreamingData\Module7\streaming-07-final-project
2023-10-06 23:10:41,507.FinalProject.INFO ==================================================
2023-10-06 23:10:43,638.FinalProject.INFO Reading messages from FinalProjectData.csv...
2023-10-06 23:10:43,638.FinalProject.INFO --- To close the program please select CTRL + c on your keyboard. ---
2023-10-06 23:17:57,457.FinalProject.INFO Prepared binary message b'[1715568,2.70]'....
2023-10-06 23:18:02,476.FinalProject.INFO Prepared binary message b'[1715568,A]'....
2023-10-06 23:18:02,491.FinalProject.INFO Prepared binary message b'[1715568,4.00]'....
2023-10-06 23:18:07,537.FinalProject.INFO Prepared binary message b'[1715568,A]'....
2023-10-06 23:18:07,559.FinalProject.INFO Prepared binary message b'[1715568,4.00]'....
2023-10-06 23:18:12,573.FinalProject.INFO Prepared binary message b'[1715568,B]'....
2023-10-06 23:18:12,583.FinalProject.INFO Prepared binary message b'[1715568,3.00]'....
2023-10-06 23:18:17,594.FinalProject.INFO Prepared binary message b'[1715578,B+]'....
2023-10-06 23:18:17,610.FinalProject.INFO Prepared binary message b'[1715578,3.30]'....
2023-10-06 23:18:22,639.FinalProject.INFO Prepared binary message b'[1715578,IN]'....
2023-10-06 23:18:22,639.FinalProject.INFO Prepared binary message b'[1715578,0.00]'....
2023-10-06 23:18:27,660.FinalProject.INFO Prepared binary message b'[1715578,B]'....
2023-10-06 23:18:27,675.FinalProject.INFO Prepared binary message b'[1715578,3.00]'....
2023-10-06 23:18:32,678.FinalProject.INFO Prepared binary message b'[1715578,A-]'....
2023-10-06 23:18:32,689.FinalProject.INFO Prepared binary message b'[1715578,3.70]'....
2023-10-06 23:18:37,700.FinalProject.INFO Prepared binary message b'[1715578,B]'....
2023-10-06 23:18:37,727.FinalProject.INFO Prepared binary message b'[1715578,3.00]'....
2023-10-06 23:18:42,766.FinalProject.INFO Prepared binary message b'[1715578,A]'....
2023-10-06 23:18:42,798.FinalProject.INFO Prepared binary message b'[1715578,4.00]'....
2023-10-06 23:18:47,831.FinalProject.INFO Prepared binary message b'[1715578,A]'....
2023-10-06 23:18:47,853.FinalProject.INFO Prepared binary message b'[1715578,4.00]'....
2023-10-06 23:18:52,877.FinalProject.INFO Prepared binary message b'[1715578,B-]'....
2023-10-06 23:18:52,908.FinalProject.INFO Prepared binary message b'[1715578,2.70]'....
2023-10-06 23:18:57,945.FinalProject.INFO Prepared binary message b'[1715578,A]'....
2023-10-06 23:18:57,957.FinalProject.INFO Prepared binary message b'[1715578,4.00]'....
2023-10-06 23:19:02,983.FinalProject.INFO Prepared binary message b'[1715631,B]'....
2023-10-06 23:19:02,999.FinalProject.INFO Prepared binary message b'[1715631,3.00]'....
2023-10-06 23:19:08,005.FinalProject.INFO Prepared binary message b'[1715631,A-]'....
2023-10-06 23:19:08,005.FinalProject.INFO Prepared binary message b'[1715631,3.70]'....
